epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.9322,1.22913,1.87327,1.40204,0.71986,0.63042,0.68161,0.40332,1.3151,1.44165,1.39096,0.00332856,0.00332856,0.00332856
2,190.37,1.21338,1.46205,1.36627,0.67172,0.58032,0.63864,0.37504,1.4016,1.54745,1.44879,0.00659595,0.00659595,0.00659595
3,281.399,1.2941,1.48203,1.4244,0.47317,0.43359,0.39887,0.19227,1.78969,2.07982,1.77675,0.00979733,0.00979733,0.00979733
4,372.399,1.35292,1.51825,1.47104,0.60799,0.53039,0.57466,0.34125,1.55643,1.52235,1.6224,0.009703,0.009703,0.009703
5,463.962,1.28625,1.40555,1.43296,0.64743,0.53219,0.58083,0.34171,1.47085,1.50234,1.52443,0.009604,0.009604,0.009604
6,555.304,1.24171,1.32612,1.40091,0.7376,0.62563,0.70799,0.44309,1.34018,1.19261,1.42617,0.009505,0.009505,0.009505
7,646.149,1.20161,1.27278,1.37027,0.75575,0.66886,0.74895,0.48659,1.2841,1.10797,1.36155,0.009406,0.009406,0.009406
8,736.937,1.17652,1.22345,1.35243,0.76115,0.68674,0.76685,0.49203,1.27564,1.06212,1.37053,0.009307,0.009307,0.009307
9,827.864,1.15486,1.18377,1.33719,0.77157,0.71616,0.77889,0.51216,1.21822,1.00579,1.30732,0.009208,0.009208,0.009208
10,919.15,1.14186,1.15864,1.32406,0.79416,0.72273,0.79697,0.52417,1.21173,1.00128,1.30764,0.009109,0.009109,0.009109
11,1009.93,1.11874,1.13329,1.31147,0.8047,0.74261,0.81539,0.54693,1.17339,0.92162,1.26727,0.00901,0.00901,0.00901
12,1100.69,1.11001,1.11508,1.30172,0.78534,0.71331,0.79483,0.52131,1.20671,0.98445,1.30584,0.008911,0.008911,0.008911
13,1191.91,1.10198,1.10063,1.29729,0.82262,0.75109,0.83383,0.55939,1.15393,0.88626,1.25511,0.008812,0.008812,0.008812
14,1282.84,1.09767,1.08073,1.29021,0.82294,0.7638,0.8413,0.57053,1.13574,0.8557,1.23719,0.008713,0.008713,0.008713
15,1373.54,1.08224,1.06132,1.28263,0.8313,0.78188,0.85461,0.58598,1.11592,0.82272,1.22223,0.008614,0.008614,0.008614
16,1464.27,1.07827,1.05102,1.27831,0.83306,0.77579,0.85176,0.59144,1.07115,0.83295,1.18825,0.008515,0.008515,0.008515
17,1555.05,1.06254,1.03641,1.27123,0.83575,0.79254,0.85923,0.59513,1.08239,0.81002,1.19755,0.008416,0.008416,0.008416
18,1646.05,1.05615,1.02445,1.26591,0.84566,0.79379,0.8702,0.60473,1.07487,0.79162,1.18865,0.008317,0.008317,0.008317
19,1736.75,1.0435,1.00953,1.2595,0.84969,0.79578,0.87368,0.61227,1.06448,0.77902,1.18397,0.008218,0.008218,0.008218
20,1827.5,1.04205,1.00737,1.2553,0.84679,0.80619,0.87685,0.62116,1.04239,0.76805,1.17479,0.008119,0.008119,0.008119
21,1918.61,1.03697,0.99886,1.25158,0.85663,0.80867,0.87906,0.62262,1.03682,0.75936,1.16706,0.00802,0.00802,0.00802
22,2009.48,1.02768,0.98291,1.24608,0.85481,0.82129,0.88447,0.62897,1.03098,0.73517,1.15908,0.007921,0.007921,0.007921
23,2100.21,1.04198,0.99077,1.25205,0.85333,0.8238,0.88369,0.6291,1.02893,0.73993,1.15407,0.007822,0.007822,0.007822
24,2191.17,1.02729,0.97334,1.24148,0.85803,0.8203,0.88391,0.6347,1.01856,0.72423,1.14833,0.007723,0.007723,0.007723
25,2282.21,1.01685,0.96207,1.23621,0.85392,0.8373,0.89,0.64078,1.00603,0.72031,1.13678,0.007624,0.007624,0.007624
26,2373.01,1.01943,0.95749,1.23688,0.86002,0.82956,0.89245,0.64531,1.00532,0.70346,1.13555,0.007525,0.007525,0.007525
27,2463.72,1.01062,0.9419,1.23218,0.86181,0.83074,0.89608,0.64913,0.99569,0.69363,1.12677,0.007426,0.007426,0.007426
28,2554.2,1.00422,0.94579,1.22899,0.85921,0.83574,0.89555,0.65027,0.99484,0.69669,1.12503,0.007327,0.007327,0.007327
29,2645.07,0.99765,0.93472,1.22248,0.86826,0.83344,0.90001,0.65592,0.98409,0.68399,1.11892,0.007228,0.007228,0.007228
30,2735.96,0.99699,0.92978,1.22262,0.87017,0.83886,0.90256,0.66003,0.97687,0.67114,1.11278,0.007129,0.007129,0.007129
31,2826.78,0.9946,0.92353,1.21863,0.87204,0.84182,0.90559,0.66094,0.98069,0.66497,1.1163,0.00703,0.00703,0.00703
32,2917.21,0.99191,0.91323,1.21758,0.87447,0.84445,0.90694,0.66508,0.97038,0.66027,1.11147,0.006931,0.006931,0.006931
33,3007.94,0.985,0.90655,1.21456,0.87258,0.85102,0.90625,0.66711,0.96319,0.65434,1.10781,0.006832,0.006832,0.006832
34,3098.48,0.98125,0.90204,1.21194,0.866,0.85775,0.90827,0.66897,0.96119,0.65228,1.1052,0.006733,0.006733,0.006733
35,3188.84,0.98099,0.90221,1.21113,0.87568,0.85118,0.90971,0.6684,0.96067,0.64907,1.10483,0.006634,0.006634,0.006634
36,3279.11,0.97839,0.89239,1.20785,0.87336,0.853,0.91119,0.67059,0.95543,0.64434,1.09889,0.006535,0.006535,0.006535
37,3370.18,0.97548,0.89266,1.20852,0.87345,0.85332,0.91171,0.67241,0.95274,0.63726,1.09796,0.006436,0.006436,0.006436
38,3460.65,0.96765,0.88319,1.20177,0.87394,0.8548,0.91411,0.67591,0.95057,0.63244,1.09685,0.006337,0.006337,0.006337
39,3550.79,0.96303,0.87654,1.19821,0.87443,0.85595,0.91548,0.67662,0.94832,0.62652,1.09508,0.006238,0.006238,0.006238
40,3641.14,0.96499,0.87597,1.2017,0.87819,0.85496,0.91665,0.67855,0.94489,0.62214,1.09221,0.006139,0.006139,0.006139
