epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2324,1.24211,1.91178,1.3864,0.62924,0.58231,0.61229,0.35054,1.31123,1.6212,1.37147,0.00332799,0.00332799,0.00332799
2,169.256,1.24219,1.50857,1.36073,0.66162,0.55509,0.60954,0.34641,1.46231,1.48416,1.47699,0.00659538,0.00659538,0.00659538
3,250.912,1.33104,1.53254,1.42795,0.47545,0.37153,0.38846,0.21654,1.74357,1.99154,1.73373,0.00979676,0.00979676,0.00979676
4,331.928,1.40171,1.58698,1.48826,0.63559,0.4977,0.55155,0.31617,1.6191,1.57352,1.67912,0.009703,0.009703,0.009703
5,412.976,1.33493,1.47077,1.43987,0.70083,0.57605,0.64855,0.3846,1.43875,1.34215,1.52565,0.009604,0.009604,0.009604
6,494.325,1.27688,1.37982,1.40323,0.71108,0.59798,0.68179,0.42225,1.33133,1.26524,1.42204,0.009505,0.009505,0.009505
7,575.373,1.23486,1.31679,1.37754,0.70978,0.64234,0.70293,0.44544,1.31767,1.19818,1.38628,0.009406,0.009406,0.009406
8,656.788,1.20857,1.27276,1.35264,0.74517,0.68035,0.7466,0.47602,1.28196,1.10675,1.3491,0.009307,0.009307,0.009307
9,737.887,1.1937,1.24185,1.34286,0.75113,0.67059,0.75392,0.48571,1.25275,1.10109,1.33383,0.009208,0.009208,0.009208
10,818.668,1.17029,1.21147,1.32727,0.78163,0.71069,0.78072,0.51029,1.2164,1.01814,1.298,0.009109,0.009109,0.009109
11,899.634,1.14772,1.17207,1.31448,0.78203,0.72227,0.7922,0.52013,1.19037,0.982,1.27209,0.00901,0.00901,0.00901
12,980.766,1.13356,1.15627,1.30372,0.7722,0.71731,0.79146,0.53253,1.1577,0.97356,1.2603,0.008911,0.008911,0.008911
13,1061.75,1.13149,1.13819,1.29655,0.79336,0.73883,0.81116,0.5442,1.1482,0.93905,1.24496,0.008812,0.008812,0.008812
14,1142.59,1.12047,1.11959,1.28953,0.80909,0.75483,0.82708,0.55824,1.14122,0.89354,1.2333,0.008713,0.008713,0.008713
