epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.263,1.32893,1.99464,1.41596,0.67346,0.59219,0.64399,0.38353,1.34425,1.53805,1.40843,0.00332759,0.00332759,0.00332759
2,158.064,1.31754,1.58441,1.38896,0.59123,0.52838,0.56555,0.32658,1.49932,1.56602,1.50059,0.00659498,0.00659498,0.00659498
3,233.547,1.42112,1.62575,1.46707,0.41946,0.38505,0.34979,0.17933,1.84961,2.16913,1.94645,0.00979637,0.00979637,0.00979637
4,308.979,1.49192,1.67587,1.53041,0.52904,0.49891,0.48504,0.26517,1.68008,1.79265,1.73943,0.009703,0.009703,0.009703
5,384.231,1.41576,1.55071,1.47604,0.62219,0.5611,0.59928,0.35352,1.50267,1.45939,1.58541,0.009604,0.009604,0.009604
6,459.513,1.36351,1.46005,1.44114,0.67096,0.61519,0.67146,0.40022,1.40529,1.3071,1.47973,0.009505,0.009505,0.009505
7,534.709,1.32489,1.39264,1.41164,0.70942,0.64327,0.69632,0.4285,1.3638,1.19626,1.43077,0.009406,0.009406,0.009406
8,609.864,1.31221,1.35882,1.39518,0.70103,0.63081,0.68796,0.4169,1.39934,1.21839,1.4552,0.009307,0.009307,0.009307
9,685.256,1.27609,1.30728,1.37537,0.75444,0.68064,0.73764,0.4693,1.28331,1.08873,1.36024,0.009208,0.009208,0.009208
10,760.587,1.25407,1.26866,1.35583,0.74276,0.70417,0.75967,0.484,1.25535,1.07271,1.35366,0.009109,0.009109,0.009109
11,835.988,1.23505,1.23533,1.34643,0.76822,0.70358,0.76363,0.48977,1.25951,1.04782,1.34695,0.00901,0.00901,0.00901
12,911.237,1.2272,1.22166,1.33914,0.7627,0.71188,0.77785,0.50453,1.21497,1.01049,1.31269,0.008911,0.008911,0.008911
13,986.333,1.2161,1.20419,1.33071,0.75537,0.72217,0.77923,0.50198,1.22652,0.99745,1.30992,0.008812,0.008812,0.008812
14,1061.63,1.19837,1.17988,1.31988,0.76678,0.72019,0.77769,0.5132,1.19511,0.98503,1.30201,0.008713,0.008713,0.008713
15,1137.05,1.19379,1.16735,1.31328,0.7949,0.74234,0.80584,0.53333,1.17765,0.94777,1.27658,0.008614,0.008614,0.008614
16,1212.08,1.1746,1.14831,1.30489,0.78976,0.7629,0.81583,0.55053,1.13514,0.89955,1.25272,0.008515,0.008515,0.008515
17,1287.49,1.18045,1.13894,1.30111,0.79329,0.76574,0.81698,0.54873,1.14298,0.88071,1.25247,0.008416,0.008416,0.008416
18,1362.9,1.16263,1.12477,1.29485,0.79643,0.76358,0.82038,0.5552,1.12117,0.88644,1.23285,0.008317,0.008317,0.008317
19,1437.96,1.15076,1.107,1.28706,0.79474,0.77177,0.82575,0.56263,1.11405,0.87558,1.23399,0.008218,0.008218,0.008218
20,1513.46,1.1399,1.09923,1.27869,0.81412,0.79019,0.84177,0.57514,1.09929,0.84461,1.21346,0.008119,0.008119,0.008119
21,1588.67,1.13915,1.08736,1.27447,0.81136,0.7898,0.8424,0.58008,1.08742,0.84439,1.20774,0.00802,0.00802,0.00802
22,1663.79,1.13151,1.06445,1.26776,0.80649,0.80026,0.84392,0.58539,1.07859,0.82935,1.1983,0.007921,0.007921,0.007921
23,1739.21,1.12699,1.05972,1.26624,0.82424,0.79105,0.85202,0.59178,1.07434,0.80246,1.19675,0.007822,0.007822,0.007822
24,1814.38,1.1253,1.05363,1.26707,0.82195,0.81036,0.86013,0.597,1.05959,0.79782,1.18262,0.007723,0.007723,0.007723
25,1889.88,1.11016,1.03401,1.25451,0.83043,0.80573,0.85926,0.60254,1.0478,0.78591,1.17702,0.007624,0.007624,0.007624
26,1964.87,1.11027,1.03351,1.25327,0.81872,0.81689,0.85971,0.60625,1.04039,0.76921,1.1744,0.007525,0.007525,0.007525
27,2040.03,1.1019,1.02247,1.2508,0.8412,0.81182,0.86755,0.61112,1.03805,0.76443,1.16809,0.007426,0.007426,0.007426
28,2115.45,1.10243,1.02112,1.24912,0.83861,0.81135,0.86554,0.61336,1.03076,0.75459,1.16883,0.007327,0.007327,0.007327
29,2190.61,1.09062,1.00794,1.24236,0.83399,0.82757,0.87248,0.61854,1.01859,0.7434,1.15134,0.007228,0.007228,0.007228
30,2265.86,1.0875,1.00645,1.24143,0.84529,0.82006,0.87475,0.62357,1.01195,0.73334,1.14992,0.007129,0.007129,0.007129
31,2340.94,1.08418,0.98809,1.23553,0.84127,0.82697,0.87655,0.62825,1.00455,0.72448,1.1477,0.00703,0.00703,0.00703
32,2415.9,1.07779,0.98981,1.23317,0.84416,0.82519,0.87837,0.63122,0.99638,0.72586,1.14197,0.006931,0.006931,0.006931
