epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.071,1.23528,1.86587,1.4041,0.65379,0.60147,0.63711,0.3761,1.36533,1.55462,1.43831,0.00332936,0.00332936,0.00332936
2,229.095,1.22596,1.47951,1.38397,0.69723,0.58493,0.64463,0.38742,1.3834,1.45583,1.4446,0.00659673,0.00659673,0.00659673
3,340.017,1.30798,1.50302,1.44483,0.61767,0.47742,0.51923,0.29003,1.62624,1.67353,1.6964,0.0097981,0.0097981,0.0097981
4,450.519,1.35036,1.52957,1.48468,0.61613,0.5124,0.55419,0.31855,1.55727,1.53065,1.59821,0.009703,0.009703,0.009703
5,560.186,1.27935,1.40709,1.43596,0.7023,0.61502,0.67506,0.41059,1.37869,1.26695,1.44766,0.009604,0.009604,0.009604
6,669.485,1.23317,1.34122,1.41043,0.7349,0.6197,0.69255,0.42731,1.34481,1.19696,1.42269,0.009505,0.009505,0.009505
7,800.554,1.20031,1.28102,1.38272,0.77131,0.66677,0.7531,0.49355,1.24385,1.04902,1.3378,0.009406,0.009406,0.009406
8,944.981,1.17326,1.23621,1.36385,0.78493,0.69516,0.77379,0.51048,1.22901,1.01703,1.31592,0.009307,0.009307,0.009307
9,1086.1,1.15489,1.20718,1.34851,0.78537,0.68784,0.76535,0.49549,1.24769,1.03899,1.33302,0.009208,0.009208,0.009208
10,1196.19,1.14113,1.17696,1.33563,0.79277,0.70704,0.77969,0.52776,1.1872,0.97656,1.29052,0.009109,0.009109,0.009109
11,1305.14,1.1287,1.15692,1.327,0.79476,0.72841,0.80179,0.53877,1.15837,0.93715,1.27102,0.00901,0.00901,0.00901
12,1414.09,1.11122,1.13693,1.31438,0.82383,0.72375,0.81698,0.55727,1.14488,0.89822,1.25598,0.008911,0.008911,0.008911
13,1523.92,1.10183,1.11302,1.3132,0.822,0.74245,0.82264,0.5623,1.1301,0.87977,1.24711,0.008812,0.008812,0.008812
14,1632.93,1.08641,1.09551,1.30203,0.83025,0.76146,0.83544,0.57765,1.1041,0.86311,1.22102,0.008713,0.008713,0.008713
15,1742.17,1.08059,1.07897,1.295,0.82367,0.7691,0.8387,0.5806,1.09044,0.8453,1.21651,0.008614,0.008614,0.008614
16,1851.88,1.0763,1.06969,1.29209,0.84023,0.76674,0.84337,0.58779,1.07186,0.82319,1.19775,0.008515,0.008515,0.008515
17,1961.16,1.06665,1.06863,1.28739,0.83856,0.78002,0.85413,0.59381,1.06273,0.80518,1.1895,0.008416,0.008416,0.008416
18,2070.2,1.06204,1.04838,1.28049,0.84378,0.78039,0.85586,0.6039,1.05154,0.79333,1.17809,0.008317,0.008317,0.008317
19,2179.43,1.05249,1.03818,1.27264,0.85033,0.78161,0.86069,0.60562,1.04886,0.77769,1.18037,0.008218,0.008218,0.008218
20,2288.94,1.04625,1.02272,1.2674,0.84045,0.79496,0.86414,0.61473,1.03133,0.75966,1.16425,0.008119,0.008119,0.008119
21,2397.83,1.04645,1.01878,1.26637,0.84947,0.80179,0.8712,0.61538,1.02885,0.74972,1.15986,0.00802,0.00802,0.00802
22,2506.98,1.04006,1.00957,1.26157,0.8501,0.80402,0.87161,0.61958,1.02568,0.7435,1.15799,0.007921,0.007921,0.007921
23,2616.26,1.03659,1.01016,1.26263,0.85416,0.80573,0.87359,0.62588,1.01283,0.73376,1.14588,0.007822,0.007822,0.007822
24,2725.24,1.03158,0.99848,1.25758,0.85529,0.8146,0.87845,0.63339,1.00141,0.72286,1.14073,0.007723,0.007723,0.007723
25,2834.29,1.02738,0.9906,1.25259,0.85211,0.81688,0.88185,0.63418,1.0071,0.71577,1.1395,0.007624,0.007624,0.007624
26,2943.76,1.0253,0.98936,1.2516,0.86064,0.81583,0.88242,0.63641,1.00066,0.71409,1.13653,0.007525,0.007525,0.007525
27,3052.96,1.017,0.97562,1.24408,0.85996,0.81982,0.88394,0.64133,0.99532,0.71016,1.13138,0.007426,0.007426,0.007426
