epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4705,1.43768,2.11679,1.46712,0.64935,0.58699,0.6126,0.32643,1.48543,1.67777,1.46201,0.00332682,0.00332682,0.00332682
2,149.54,1.41165,1.69429,1.42866,0.63843,0.5997,0.62466,0.33216,1.49547,1.5224,1.49434,0.00659422,0.00659422,0.00659422
3,221.327,1.508,1.70927,1.49622,0.44546,0.36966,0.33845,0.15286,2.00589,2.30648,1.97847,0.00979562,0.00979562,0.00979562
4,292.662,1.58246,1.75419,1.57509,0.60065,0.53826,0.57067,0.28617,1.70275,1.56347,1.6404,0.009703,0.009703,0.009703
5,363.995,1.50456,1.63206,1.51696,0.65317,0.55155,0.59494,0.32082,1.63326,1.49178,1.64338,0.009604,0.009604,0.009604
6,435.294,1.45323,1.54022,1.4793,0.7316,0.63306,0.69752,0.39479,1.48018,1.28613,1.48085,0.009505,0.009505,0.009505
7,506.541,1.40593,1.46252,1.44419,0.71564,0.66536,0.71312,0.40427,1.45075,1.23948,1.45253,0.009406,0.009406,0.009406
8,577.996,1.38745,1.42465,1.43141,0.7394,0.68317,0.74174,0.44647,1.35832,1.1547,1.40383,0.009307,0.009307,0.009307
9,649.107,1.35017,1.38372,1.41104,0.71663,0.68257,0.71898,0.43486,1.38983,1.17681,1.40304,0.009208,0.009208,0.009208
10,720.088,1.33142,1.32829,1.38984,0.76835,0.70945,0.77588,0.47393,1.29166,1.07563,1.34124,0.009109,0.009109,0.009109
11,791.168,1.30938,1.2975,1.37435,0.74686,0.71657,0.771,0.46851,1.32959,1.08274,1.35222,0.00901,0.00901,0.00901
12,862.268,1.29619,1.27676,1.36707,0.79021,0.75786,0.80799,0.50679,1.25855,0.98287,1.31386,0.008911,0.008911,0.008911
13,933.567,1.28264,1.25398,1.35223,0.75912,0.74249,0.78878,0.50008,1.25498,1.01823,1.30668,0.008812,0.008812,0.008812
14,1004.57,1.27008,1.23407,1.33938,0.81042,0.75624,0.8227,0.5273,1.24241,0.97277,1.29701,0.008713,0.008713,0.008713
15,1075.56,1.26093,1.22832,1.3348,0.79025,0.77042,0.82746,0.53839,1.19351,0.94732,1.26345,0.008614,0.008614,0.008614
16,1146.35,1.2442,1.19511,1.32704,0.8056,0.79125,0.84471,0.55282,1.18567,0.91163,1.2507,0.008515,0.008515,0.008515
17,1217.26,1.23539,1.18519,1.3237,0.81566,0.78943,0.85052,0.56106,1.16198,0.9045,1.24301,0.008416,0.008416,0.008416
18,1289.13,1.2184,1.16281,1.3104,0.81773,0.78913,0.84756,0.56505,1.15421,0.87919,1.23635,0.008317,0.008317,0.008317
19,1360.29,1.21497,1.15517,1.30492,0.82918,0.79789,0.86281,0.5733,1.13852,0.84953,1.22317,0.008218,0.008218,0.008218
20,1431.24,1.20678,1.14434,1.29998,0.82324,0.81127,0.86983,0.58597,1.11833,0.84165,1.20013,0.008119,0.008119,0.008119
21,1502.19,1.20618,1.12574,1.29743,0.83296,0.80815,0.87298,0.5881,1.12063,0.82961,1.20715,0.00802,0.00802,0.00802
22,1573.34,1.19447,1.12149,1.29256,0.83239,0.82038,0.88005,0.60116,1.09689,0.809,1.18949,0.007921,0.007921,0.007921
23,1645.02,1.18497,1.10205,1.28196,0.83338,0.82294,0.88191,0.59938,1.0882,0.79981,1.18097,0.007822,0.007822,0.007822
24,1716.11,1.18228,1.09731,1.28739,0.83433,0.83235,0.88571,0.61107,1.07309,0.78835,1.17324,0.007723,0.007723,0.007723
25,1787.09,1.16946,1.09042,1.28025,0.83091,0.83623,0.8829,0.61314,1.06594,0.78131,1.16849,0.007624,0.007624,0.007624
26,1858.26,1.16496,1.07991,1.27174,0.84133,0.84045,0.89271,0.61736,1.05259,0.76644,1.15886,0.007525,0.007525,0.007525
27,1929.11,1.15646,1.06521,1.26677,0.85803,0.84205,0.89869,0.62704,1.04834,0.75328,1.15402,0.007426,0.007426,0.007426
28,2000.92,1.16068,1.06768,1.26628,0.84702,0.84746,0.89706,0.62879,1.04563,0.74559,1.1463,0.007327,0.007327,0.007327
29,2072.05,1.13918,1.05097,1.25556,0.85654,0.83812,0.89821,0.63468,1.02855,0.73492,1.14423,0.007228,0.007228,0.007228
30,2142.66,1.14968,1.04681,1.25675,0.85787,0.84226,0.90353,0.63938,1.02152,0.72363,1.13709,0.007129,0.007129,0.007129
31,2213.49,1.14038,1.05118,1.26007,0.85772,0.85087,0.90726,0.64641,1.00671,0.71631,1.12806,0.00703,0.00703,0.00703
32,2284.51,1.13573,1.02719,1.2577,0.86333,0.85244,0.91013,0.65073,1.00095,0.69893,1.12824,0.006931,0.006931,0.006931
33,2355.46,1.13677,1.02501,1.24665,0.86246,0.856,0.91086,0.6552,0.98984,0.69242,1.11646,0.006832,0.006832,0.006832
34,2426.34,1.12765,1.0264,1.24498,0.86242,0.85816,0.91142,0.65482,0.98842,0.69204,1.11338,0.006733,0.006733,0.006733
35,2496.97,1.11375,1.00684,1.23844,0.86934,0.86325,0.9151,0.66019,0.98299,0.68141,1.11231,0.006634,0.006634,0.006634
36,2567.62,1.11845,1.01077,1.23871,0.87214,0.86038,0.91646,0.66357,0.97129,0.67836,1.10427,0.006535,0.006535,0.006535
37,2638.56,1.11395,0.99782,1.23986,0.86567,0.86249,0.91939,0.6704,0.96435,0.66585,1.09845,0.006436,0.006436,0.006436
38,2709.05,1.10478,0.99533,1.23458,0.87361,0.85862,0.92129,0.67232,0.95424,0.65745,1.09358,0.006337,0.006337,0.006337
39,2780.08,1.10112,0.98287,1.22922,0.87006,0.86415,0.92269,0.67429,0.95195,0.65351,1.09091,0.006238,0.006238,0.006238
40,2851.22,1.09476,0.97303,1.22285,0.8688,0.8723,0.9241,0.67633,0.95048,0.64915,1.08642,0.006139,0.006139,0.006139
41,2921.98,1.0921,0.97416,1.22393,0.87474,0.8717,0.92429,0.67861,0.94513,0.64473,1.08534,0.00604,0.00604,0.00604
